Identifiant,Texte,Traduction ,Labels
1373,Somebody should just stabthose gay people.,Il faudrait que quelqu'un poignarde ces homosexuels.,Homophobie
1374,Typical faggotbehaviour.,Comportement typique d'un pédé.,Homophobie
1375,Typical fagbehaviour.,Comportement typique d'un pédé.,Homophobie
1376,Typical queerbehaviour.,Comportement queer typique.,Homophobie
1377,Too manyfaggots in this country.,Trop de pédés dans ce pays.,Homophobie
1378,Too manyfags in this country.,Il y a trop de pédés dans ce pays.,Homophobie
1379,Too manyqueer in this country.,Trop de personnes homosexuelles dans ce pays.,Homophobie
1380,Fuckall gay people.,Nique tous les homosexuels.,Homophobie
1381,All gay people are such massivescumbags.,Tous les homosexuels sont de véritables ordures.,Homophobie
1382,I h a t e gay people.,Je déteste les homosexuels.,Homophobie
1383,I feel nothing but contempt for g a y people.,Je n'éprouve que du mépris pour les homosexuels.,Homophobie
1384,You g a y people make me sick.,"Vous, les homosexuels, me dégoûtez.",Homophobie
1385,All gay people like them are v i l e.,Tous les homosexuels comme eux sont ignobles.,Homophobie
1386,G a y people are disgusting.,Les homosexuels sont dégoûtants.,Homophobie
1387,Gay people with any power are a t h r e a t to civilisation.,Les homosexuels qui détiennent un quelconque pouvoir sont une menace pour la civilisation.,Homophobie
1388,Gay people are s c u m.,Les homosexuels sont des ordures.,Homophobie
1389,Gay people are a c a n c e r.,Les homosexuels sont un cancer.,Homophobie
1390,G a y people have no place in a civilised country like this.,Les homosexuels n'ont pas leur place dans un pays civilisé comme celui-ci.,Homophobie
1391,I want to k i l l all gay people.,Je veux tuer tous les homosexuels.,Homophobie
1392,I am going to shoot the next g a y person I see.,Je vais tirer sur le prochain homosexuel que je verrai.,Homophobie
1393,Gay people like you deserve to d i e.,Les homosexuels comme toi méritent de mourir.,Homophobie
1394,"In a just world, those gay people would all be d e a d.","Dans un monde juste, tous ces homosexuels seraient morts.",Homophobie
1395,Those g a y people should be burned at the stake.,Ces homosexuels devraient être brûlés sur le bûcher.,Homophobie
1396,You are nothing but a f a g g o t.,Tu n'es qu'une tapette.,Homophobie
1397,You are nothing but a f a g.,Tu n'es qu'une pédale.,Homophobie
1398,You are nothing but a q u e e r.,Tu n'es rien d'autre qu'une querelleuse.,Homophobie
1399,Typical f a g g o t behaviour.,Comportement typique d'un pédé.,Homophobie
1400,Typical f a g behaviour.,Comportement typique d'une pédale.,Homophobie
1401,Typical q u e e r behaviour.,Comportement typique des queer.,Homophobie
1402,Too many f a g g o t s in this country.,Il y a trop de pédés dans ce pays.,Homophobie
1403,Too many f a g s in this country.,Trop de pédés dans ce pays.,Homophobie
1404,Too many q u e e r s in this country.,Trop de queer dans ce pays.,Homophobie
1405,F u c k all gay people.,Nique tous les homosexuels.,Homophobie
1406,Most g a y people are seriously fucked in the head.,La plupart des homosexuels sont complètement cinglés.,Homophobie
1407,Immigrants are the absolute worst.,Les immigrés sont vraiment les pires.,Xénophobie
1408,You immigrants make me sick.,"Vous, les immigrés, vous me dégoûtez.",Xénophobie
1409,There is nothing worse than an immigrant.,Il n'y a rien de pire qu'un immigré.,Xénophobie
1410,Seeing immigrants in this place makes me so angry.,Voir des immigrants ici me met tellement en colère.,Xénophobie
1411,Immigrants who think they are my equal fill me with so much rage.,Les immigrés qui se croient mes égaux me remplissent de rage.,Xénophobie
1412,Immigrants like you make me furious.,Les immigrés comme vous me rendent furieux.,Xénophobie
1413,You and all the other immigrants in this country make me boil with anger.,Vous et tous les autres immigrants de ce pays me mettez hors de moi.,Xénophobie
1414,The utter scorn I feel for immigrants is hard to to put into words.,Le mépris absolu que j'éprouve pour les immigrants est difficile à exprimer.,Xénophobie
1415,I absolutely abhor all immigrants.,Je déteste absolument tous les immigrants.,Xénophobie
1416,Immigrants are disgusting.,Les immigrés sont dégoûtants.,Xénophobie
1417,All immigrants are repulsive.,Tous les immigrants sont répugnants.,Xénophobie
1418,Immigrants are absolutely despicable.,Les immigrés sont absolument méprisables.,Xénophobie
1419,Immigrants are just so sickening.,Les immigrés sont tout simplement répugnants.,Xénophobie
1420,Immigrants can't stop themselves from being absolutely revolting.,Les immigrés ne peuvent s'empêcher d'être absolument répugnants.,Xénophobie
1421,Immigrants like you are repugnant.,Les immigrants comme vous sont répugnants.,Xénophobie
1422,You immigrants are all dishonest.,"Vous autres, les immigrés, êtes tous malhonnêtes.",Xénophobie
1423,All immigrants like them are vile.,Tous les immigrants comme eux sont vils.,Xénophobie
1424,Immigrants like you are just pathetic.,Les immigrants comme vous sont tout simplement pathétiques.,Xénophobie
1425,Immigrants with any power are a threat to civilisation.,"Les immigrants, quel que soit leur pouvoir, constituent une menace pour la civilisation.",Xénophobie
1426,Immigrants being in charge is a danger to our country.,Le pouvoir des immigrants est un danger pour notre pays.,Xénophobie
1427,It's in immigrants's nature to be uncivilised.,Il est dans la nature des immigrants d'être incivilisés.,Xénophobie
1428,Only immigrants are that violent and cruel.,Seuls les immigrés sont aussi violents et cruels.,Xénophobie
1429,Only immigrants can be so ignorant.,Seuls les immigrés peuvent être aussi ignorants.,Xénophobie
1430,No one else is as filthy as these immigrants.,Personne d'autre n'est aussi sale que ces immigrants.,Xénophobie
1431,Typical of an immigrant to be that stupid.,Typique d'un immigré d'être aussi stupide.,Xénophobie
1432,Immigrants are without a doubt the stupidest people on this planet.,Les immigrants sont sans aucun doute les personnes les plus stupides de cette planète.,Xénophobie
1433,It's always the immigrant that is the dumb one.,C'est toujours l'immigré qui passe pour l'idiot.,Xénophobie
1434,Immigrants are just the dumbest people.,Les immigrés sont vraiment les personnes les plus stupides.,Xénophobie
1435,Immigrants really are brainless without exception.,"Les immigrants sont vraiment des imbéciles, sans exception.",Xénophobie
1436,Immigrants are scum.,Les immigrés sont de la racaille.,Xénophobie
1437,Immigrants are worthless dirt.,Les immigrés sont de la vermine sans valeur.,Xénophobie
1438,Immigrants like you are absolute filth.,Les immigrés comme vous sont une véritable vermine.,Xénophobie
1439,You are nothing but common immigrant trash.,Vous n'êtes que de la camelote immigrée.,Xénophobie
1440,Immigrants are nothing but refuse.,Les immigrants ne sont que des déchets.,Xénophobie
1441,Immigrants are parasites to our society.,Les immigrants sont des parasites pour notre société.,Xénophobie
1442,These immigrants are nothing but cockroaches.,Ces immigrants ne sont que des cafards.,Xénophobie
1443,Immigrants are human garbage.,Les immigrants sont des déchets humains.,Xénophobie
1444,Immigrants are lesser beings.,Les immigrants sont des êtres inférieurs.,Xénophobie
1445,Immigrants are a pest.,Les immigrants sont une plaie.,Xénophobie
1446,Immigrants like you are no better than rats.,Les immigrants comme vous ne valent pas mieux que des rats.,Xénophobie
1447,Your immigrant lives are worthless.,Vos vies d'immigrants ne valent rien.,Xénophobie
1448,Immigrant lives are worth absolutely nothing.,La vie des immigrants ne vaut absolument rien.,Xénophobie
1449,That is fitting for immigrant vermin like you.,Voilà qui convient parfaitement à des vermines immigrées comme toi.,Xénophobie
1450,Immigrants are just a waste of space.,Les immigrants ne font que gaspiller de l'espace.,Xénophobie
1451,Immigrants are a virus.,Les immigrants sont un virus.,Xénophobie
1452,Immigrants are a cancer.,Les immigrants sont un cancer.,Xénophobie
1453,You and all other immigrants are a plague to society.,Vous et tous les autres immigrants êtes un fléau pour la société.,Xénophobie
1454,Immigrants are subhuman creatures.,Les immigrants sont des créatures sous-humaines.,Xénophobie
1455,Swarms of immigrants are infesting our government.,Des hordes d'immigrants infestent notre gouvernement.,Xénophobie
1456,Immigrants belong in a zoo.,Les immigrants ont leur place dans un zoo.,Xénophobie
1457,"Immigrants who are sick should be taken to a vet, not a doctor.","Les immigrants malades devraient être emmenés chez un vétérinaire, et non chez un médecin.",Xénophobie
1458,My dog is smarter than any immigrant could ever be.,Mon chien est plus intelligent que n'importe quel immigrant ne le sera jamais.,Xénophobie
1459,That monkey is more intelligent than all of you immigrants combined.,"Ce singe est plus intelligent que vous tous, les immigrés, réunis.",Xénophobie
1460,Immigrants should be dumped in a landfill.,Les immigrants devraient être jetés dans une décharge.,Xénophobie
1461,I would never eat food that has been touched by an immigrant.,Je ne mangerais jamais de nourriture qui a été touchée par un immigrant.,Xénophobie
1462,I care more about the dirt under my shoe than about immigrants.,Je me soucie davantage de la saleté sous mes chaussures que des immigrants.,Xénophobie
1463,The life of any insect is more valuable than that of an immigrant.,La vie de n'importe quel insecte a plus de valeur que celle d'un immigrant.,Xénophobie
1464,We should test new drugs on immigrants before testing them on animals.,Il faudrait tester les nouveaux médicaments sur les immigrants avant de les tester sur les animaux.,Xénophobie
1465,I don't see any difference between a dead rat and a dead immigrant.,Je ne vois aucune différence entre un rat mort et un immigrant mort.,Xénophobie
1466,It baffles me why people care even the slightest about the lives of immigrants.,"Je suis perplexe face à l'intérêt que les gens portent, même un tout petit peu, à la vie des immigrants.",Xénophobie
1467,Immigrants should all be locked up in cages.,Tous les immigrants devraient être enfermés dans des cages.,Xénophobie
1468,Putting an immigrant in charge is the biggest mistake anyone can make.,Confier un poste à un immigrant est la plus grosse erreur que l'on puisse commettre.,Xénophobie
1469,Allowing any more immigrants into government will ruin our country.,Autoriser davantage d'immigrants à entrer au gouvernement ruinera notre pays.,Xénophobie
1470,Never trust a single word said by an immigrant.,Ne croyez jamais un seul mot prononcé par un immigrant.,Xénophobie
1471,I would rather die than date an immigrant.,Je préférerais mourir plutôt que de sortir avec un immigré.,Xénophobie
1472,I'd rather have cancer than be anywhere near an immigrant.,Je préférerais avoir un cancer plutôt que de me trouver à proximité d'un immigrant.,Xénophobie
1473,"If I woke up as an immigrant, I would kill myself.","Si je me réveillais en tant qu'immigrant, je me suiciderais.",Xénophobie
1474,There is nothing in the world I like less than an immigrant.,Il n'y a rien au monde que je déteste moins qu'un immigré.,Xénophobie
1475,Immigrants have no place in a civilised country like this.,Les immigrés n'ont pas leur place dans un pays civilisé comme celui-ci.,Xénophobie
1476,I want to kill all immigrants.,Je veux tuer tous les immigrants.,Xénophobie
1477,I want to end every immigrant's life.,Je veux mettre fin à la vie de chaque immigré.,Xénophobie
1478,I really am just going to murder that immigrant.,Je vais vraiment tuer cet immigrant.,Xénophobie
1479,I am going to shoot the next immigrant I see.,Je vais tirer sur le prochain immigrant que je verrai.,Xénophobie
1480,I am going to make those immigrants suffer.,Je vais faire souffrir ces immigrants.,Xénophobie
1481,I'm going to stab an immigrant tomorrow.,Je vais poignarder un immigré demain.,Xénophobie
1482,I'll have to rape an immigrant today.,Je vais devoir violer une immigrée aujourd'hui.,Xénophobie
1483,I will hurt you and any other immigrants like you.,"Je vous ferai du mal, à vous et à tous les autres immigrants comme vous.",Xénophobie
1484,I will cut their immigrant throats.,"Je leur trancherai la gorge, à eux, les immigrés.",Xénophobie
1485,I'll snap that immigrant neck of yours.,"Je vais te briser le cou, sale immigré.",Xénophobie
1486,We will keep attacking you immigrants until you are gone.,"Nous continuerons à vous attaquer, immigrants, jusqu'à ce que vous disparaissiez.",Xénophobie
1487,We'll torture these immigrants without mercy.,Nous torturerons ces immigrants sans pitié.,Xénophobie
1488,We are going to put an end to all immigrants.,Nous allons mettre fin à l'immigration.,Xénophobie
1489,Let's get rid of immigrants once and for all.,Débarrassons-nous des immigrants une fois pour toutes.,Xénophobie
1490,Let's just eradicate those immigrants.,"Éradiquer ces immigrants, tout simplement.",Xénophobie
1491,Execution is the only solution for those immigrants.,L'exécution est la seule solution pour ces immigrants.,Xénophobie
1492,Death to all immigrants.,Mort à tous les immigrants.,Xénophobie
1493,I'll slaughter any immigrant like you.,Je massacrerai tous les immigrants comme toi.,Xénophobie
1494,That immigrant will die a horrible death at my hands.,Cet immigrant mourra d'une mort horrible de ma main.,Xénophobie
1495,Immigrants should all be killed.,Il faudrait tous tuer les immigrants.,Xénophobie
1496,Immigrants like you deserve to die.,Les immigrants comme vous méritent de mourir.,Xénophobie
1497,I would love to see those immigrants suffer.,J'adorerais voir ces immigrants souffrir.,Xénophobie
1498,I wish all immigrants would be shot in the street.,Je souhaite que tous les immigrants soient abattus dans la rue.,Xénophobie
1499,We should get rid of immigrants once and for all.,Nous devrions nous débarrasser des immigrants une fois pour toutes.,Xénophobie
1500,We should just hang all these immigrants.,On devrait pendre tous ces immigrants.,Xénophobie
1501,We would be better off if those immigrants were eradicated.,Nous serions mieux lotis si ces immigrants étaient éradiqués.,Xénophobie
1502,If only immigrants like you all had their throats cut.,Si seulement on tranchait la gorge à tous les immigrés comme vous !,Xénophobie
1503,It would be best to just drown those kinds of immigrants.,Le mieux serait tout simplement de noyer ce genre d'immigrants.,Xénophobie
1504,Raping an immigrant like you should not be illegal.,Violer une immigrée comme vous ne devrait pas être illégal.,Xénophobie
1505,Murdering an immigrant like you should be decriminalised.,Le meurtre d'un immigré comme vous devrait être dépénalisé.,Xénophobie
1506,Those kinds of immigrants ought to be executed.,Ce genre d'immigrants devrait être exécuté.,Xénophobie
1507,If only someone would strangle those immigrants.,Si seulement quelqu'un pouvait étrangler ces immigrants !,Xénophobie
1508,"In a just world, immigrants like you would all be dead.","Dans un monde juste, les immigrants comme vous seraient tous morts.",Xénophobie
1509,The world would be better off without immigrants like you.,Le monde se porterait mieux sans immigrants comme vous.,Xénophobie
1510,One can only hope someone will put an end to those immigrants.,On ne peut qu'espérer que quelqu'un mette fin à l'arrivée de ces immigrants.,Xénophobie
1511,It's in everybody's interest to just slaughter those immigrants.,Il est dans l'intérêt de tous de massacrer ces immigrants.,Xénophobie
1512,Somebody should just stab those immigrants.,Il faudrait que quelqu'un poignarde ces immigrés.,Xénophobie
1513,Someone should snap the necks of all those immigrants.,Il faudrait briser la nuque de tous ces immigrés.,Xénophobie
1514,Those immigrants should be burned at the stake.,Ces immigrants devraient être brûlés sur le bûcher.,Xénophobie
1515,That's only natural for a wetback like you.,C'est tout à fait normal pour un clandestin comme toi.,Xénophobie
1516,That's only natural for a rapefugee like you.,C'est tout à fait normal pour une réfugiée violeuse comme toi.,Xénophobie
1517,You are just a wetback to me.,Tu n'es qu'un immigré clandestin à mes yeux.,Xénophobie
1518,You are just a rapefugee to me.,Tu n'es qu'une réfugiée violeuse à mes yeux.,Xénophobie
1519,Just another common wetback.,Encore un autre clandestin ordinaire.,Xénophobie
1520,Just another common rapefugee.,Encore une simple réfugiée violeuse.,Xénophobie
1521,They are just a bunch of wetbacks.,Ce ne sont qu'une bande d'immigrés clandestins.,Xénophobie
1522,They are just a bunch of rapefugees.,Ce ne sont qu'une bande de réfugiés violeurs.,Xénophobie
1523,You are nothing but a wetback.,Tu n'es rien d'autre qu'un immigré clandestin.,Xénophobie
1524,You are nothing but a rapefugee.,Tu n'es rien d'autre qu'un violeur réfugié.,Xénophobie
1525,Typical wetback behaviour.,Comportement typique des clandestins.,Xénophobie
1526,Typical rapefugee behaviour.,Comportement typique des victimes de viol réfugiées.,Xénophobie
1527,Wetbacks just can't help themselves.,Les clandestins ne peuvent tout simplement pas s'en empêcher.,Xénophobie
1528,Rapefugees just can't help themselves.,Les réfugiés violeurs ne peuvent tout simplement pas s'en empêcher.,Xénophobie
1529,Too many wetbacks in this country.,Il y a trop d'immigrés clandestins dans ce pays.,Xénophobie
1530,Too many rapefugees in this country.,Il y a trop de réfugiés violeurs dans ce pays.,Xénophobie
1531,What is it with you fucking immigrants?,"Qu'est-ce qui vous prend, bande de putains d'immigrés ?",Xénophobie
1532,Fuck all immigrants.,Nique tous les immigrés.,Xénophobie
1533,All immigrants should fuck off forever.,Tous les immigrés devraient dégager à jamais.,Xénophobie
1534,Immigrants should get the fuck out of our country.,Les immigrés devraient dégager de notre pays.,Xénophobie
1535,Immigrants can all go fuck themselves.,Que tous les immigrés aillent se faire foutre.,Xénophobie
1536,These immigrants should shut the fuck up once and for all.,Ces immigrés devraient la fermer une bonne fois pour toutes.,Xénophobie
1537,Most immigrants are seriously fucked in the head.,La plupart des immigrés sont complètement cinglés.,Xénophobie
1538,Immigrants are the worst kind of motherfuckers.,Les immigrés sont les pires enfoirés.,Xénophobie
1539,Immigrant lives aren't worth shit.,La vie des immigrés ne vaut rien.,Xénophobie
1540,"By nature, immigrants are just shitty human beings.","Par nature, les immigrés sont tout simplement des êtres humains détestables.",Xénophobie
1541,Typical of an immigrant to be such a total shithead.,Typique d'un immigré d'être un tel connard.,Xénophobie
1542,"If the idea comes from an immigrant, it must be bullshit.","Si l'idée vient d'un immigrant, c'est forcément des conneries.",Xénophobie
1543,I'm just so pissed off by immigrants like you.,Je suis tellement en colère contre les immigrés comme vous.,Xénophobie
1544,All the immigrants in this country are pissing me off so much.,Tous ces immigrés dans ce pays m'énervent tellement.,Xénophobie
1545,Immigrants are all complete assholes.,Les immigrés sont tous des connards finis.,Xénophobie
1546,Most immigrants are absolute bastards.,La plupart des immigrés sont de véritables salauds.,Xénophobie
1547,All immigrants are such massive scumbags.,Tous les immigrés sont de véritables ordures.,Xénophobie
1548,It's in an immigrant's nature to be an annoying prick.,C'est dans la nature même d'un immigré d'être un connard insupportable.,Xénophobie
1549,Immigrants can't help themselves but be complete dickheads.,Les immigrés ne peuvent s'empêcher d'être de parfaits connards.,Xénophobie
1550,Of course that dumbass was an immigrant.,Bien sûr que cet imbécile était un immigrant.,Xénophobie
1551,I have met many immigrants and I hate every single one of them.,J'ai rencontré beaucoup d'immigrants et je les déteste tous.,Xénophobie
1552,"I absolutely loathe people, especially if they are immigrants.","Je déteste les gens, surtout les immigrés.",Xénophobie
1553,"Whenever immigrants look at me, I think they can sense that I feel nothing but contempt for them.","Chaque fois que les immigrants me regardent, je pense qu'ils peuvent sentir que je ne ressens que du mépris à leur égard.",Xénophobie
1554,I don't have anything against immigrants but most of them are pretty disgusting.,"Je n'ai rien contre les immigrés, mais la plupart d'entre eux sont assez répugnants.",Xénophobie
1555,I am trying to get along with immigrants but they are just too repulsive.,"J'essaie de m'entendre avec les immigrés, mais ils sont tout simplement trop repoussants.",Xénophobie
1556,"If you are an immigrant, then you are probably stupid.","Si vous êtes un immigrant, alors vous êtes probablement stupide.",Xénophobie
1557,Those immigrants might look human but they are just parasites to our society.,"Ces immigrants ont peut-être l'air humains, mais ce ne sont que des parasites pour notre société.",Xénophobie
1558,"Even if immigrants are nice sometimes, they are still nothing but human garbage.","Même si les immigrés sont parfois sympathiques, ils n'en restent pas moins des déchets humains.",Xénophobie
1559,Immigrants must know that they are lesser beings.,Les immigrants doivent savoir qu'ils sont des êtres inférieurs.,Xénophobie
1560,Immigrants like you should know that your lives are worthless.,Les immigrants comme vous devraient savoir que leurs vies ne valent rien.,Xénophobie
1561,"When immigrants talk back to me, I just want to kill them.","Quand les immigrés me répondent mal, j'ai juste envie de les tuer.",Xénophobie
1562,"I can't believe these immigrants, thinking I won't murder every one of them.",Je n'arrive pas à croire que ces immigrés pensent que je ne vais pas tous les tuer.,Xénophobie
1563,Those immigrants will stop laughing when I start shooting them.,Ces immigrés arrêteront de rire quand je commencerai à leur tirer dessus.,Xénophobie
1564,Immigrants are nothing like us and that's why they deserve to die.,Les immigrés ne nous ressemblent en rien et c'est pourquoi ils méritent de mourir.,Xénophobie
1565,"If immigrants like you refuse to fit in, they should suffer for it.","Si les immigrants comme vous refusent de s'intégrer, ils devraient en subir les conséquences.",Xénophobie
1566,Immigrants are never going to change so we should just get rid of them.,"Les immigrants ne changeront jamais, alors autant s'en débarrasser.",Xénophobie
1567,They must be fucked in the head if they are immigrants.,Ils doivent être complètement cinglés s'ils sont immigrés.,Xénophobie
1568,Their lives aren't worth shit to me because they are immigrants.,Leurs vies ne valent rien à mes yeux parce qu'ils sont des immigrants.,Xénophobie
1569,I've been around enough immigrants to know they're all complete assholes.,J'ai fréquenté suffisamment d'immigrants pour savoir que ce sont tous de parfaits connards.,Xénophobie
1570,I'd be okay with immigrants if they weren't such massive scumbags.,Je n'aurais rien contre les immigrés s'ils n'étaient pas de tels salauds.,Xénophobie
1571,Immigrants think they're special. I hate them.,Les immigrés se croient spéciaux. Je les déteste.,Xénophobie
1572,I don't understand why you'd like immigrants. Everything about them disgusts me so much.,Je ne comprends pas pourquoi tu aimerais les immigrés. Tout chez eux me dégoûte profondément.,Xénophobie
1573,You immigrants keep acting up. There really is nothing worse than your kind.,"Vous autres, les immigrés, vous n'arrêtez pas de faire des siennes. Il n'y a vraiment rien de pire",Xénophobie
1574,That's typical of immigrants. They're absolutely despicable.,C'est typique des immigrés. Ils sont absolument méprisables.,Xénophobie
1575,An immigrant must have committed that crime. Only they can be that violent and cruel.,C'est forcément un immigré qui a commis ce crime. Seuls eux peuvent être aussi violents et cruels.,Xénophobie
1576,Of course they are stupid. They are immigrants after all.,Bien sûr qu'ils sont stupides. Ce sont des immigrés après tout.,Xénophobie
1577,I know immigrants like you can't help it. You're just all that dumb.,Je sais que les immigrés comme vous n'y peuvent rien. Vous êtes vraiment tous aussi bêtes.,Xénophobie
1578,Immigrants can be kind to you at times. Don't forget they're still just worthless scum.,Les immigrés peuvent parfois se montrer gentils. N'oubliez pas qu'ils restent des êtres méprisables.,Xénophobie
1579,Some immigrants get into government. They are still just common trash to me.,"Certains immigrés intègrent le gouvernement. Pour moi, ils restent de la pure camelote.",Xénophobie
1580,I understand that immigrants are human beings. I just think they act like vermin.,Je comprends que les immigrants sont des êtres humains. Je trouve simplement qu'ils se comportent comme de la vermine.,Xénophobie
1581,Immigrants refuse to respect us. I'm going to make them suffer for that.,Les immigrés refusent de nous respecter. Je vais leur faire payer ça.,Xénophobie
1582,Those immigrants won't change. Let's just eradicate them.,Ces immigrés ne changeront pas. Autant les éradiquer.,Xénophobie
1583,Immigrants like you should stop complaining. You deserve to suffer.,Les immigrés comme vous devraient arrêter de se plaindre. Vous méritez de souffrir.,Xénophobie
1584,We should simply shoot them. They're just immigrants after all.,"On devrait tout simplement leur tirer dessus. Après tout, ce ne sont que des immigrés.",Xénophobie
1585,Those kinds of immigrants will never fit in. They ought to be executed.,Ce genre d'immigrants ne s'intégrera jamais. Ils devraient être exécutés.,Xénophobie
1586,Your lives aren't worth shit to me. You're just immigrants.,Vos vies ne valent rien à mes yeux. Vous n'êtes que des immigrés.,Xénophobie
1587,I am not surprised the idea was bullshit. It came from an immigrant after all.,"Je ne suis pas surpris que cette idée soit absurde. Après tout, elle venait d'un immigré.",Xénophobie
1588,They are all complete assholes. Needless to say they are immigrants.,Ce sont tous des connards finis. Inutile de préciser qu'ils sont immigrés.,Xénophobie
1589,We're talking about immigrants here. They can't help themselves but be complete dickheads.,"On parle d'immigrés, là. Ils ne peuvent pas s'empêcher d'être de parfaits connards.",Xénophobie
1590,I have no compassion at all for any immigrant like you.,Je n'ai aucune compassion pour les immigrants comme vous.,Xénophobie
1591,"By their nature, immigrants are never attractive.","De par leur nature, les immigrants ne sont jamais attirants.",Xénophobie
1592,Immigrants are never any intelligent.,Les immigrants ne sont jamais intelligents.,Xénophobie
1593,Immigrants can never be as smart as anyone else.,Les immigrants ne seront jamais aussi intelligents que les autres.,Xénophobie
1594,Of course human rights should not apply to immigrants.,"Bien sûr, les droits de l'homme ne devraient pas s'appliquer aux immigrants.",Xénophobie
1595,Clearly immigrants are not our equal.,Il est clair que les immigrants ne sont pas nos égaux.,Xénophobie
1596,Immigrants are not worthy of living like other humans.,Les immigrants ne sont pas dignes de vivre comme les autres êtres humains.,Xénophobie
1597,Immigrant lives are not worth protecting.,La vie des immigrants ne mérite pas d'être protégée.,Xénophobie
1598,Immigrant lives do not matter.,La vie des immigrants n'a aucune importance.,Xénophobie
1599,Immigrant lives should not be important to anyone.,La vie des immigrants ne devrait importer à personne.,Xénophobie
1600,Your immigrant lives have no value.,Vos vies d'immigrants n'ont aucune valeur.,Xénophobie
1601,An immigrant life is not worth anything.,La vie d'un immigré ne vaut rien.,Xénophobie
1602,There is no space on this planet for any immigrant like you.,Il n'y a pas de place sur cette planète pour un immigrant comme vous.,Xénophobie
1603,No immigrant can ever be a valuable member of society.,Aucun immigrant ne peut jamais être un membre précieux de la société.,Xénophobie
1604,It should be clear that immigrants are not human.,Il devrait être clair que les immigrants ne sont pas des êtres humains.,Xénophobie
1605,We must not let any immigrant live.,Nous ne devons laisser aucun immigrant en vie.,Xénophobie
1606,Immigrants like you do not deserve to live.,Les immigrants comme vous ne méritent pas de vivre.,Xénophobie
1607,I would never lift a finger to save an immigrant's life.,Je ne lèverais jamais le petit doigt pour sauver la vie d'un immigrant.,Xénophobie
1608,These immigrants have no right to be alive.,Ces immigrants n'ont aucun droit à la vie.,Xénophobie
1609,Immigrants do not belong on this earth.,Les immigrants n'ont pas leur place sur cette terre.,Xénophobie
1610,Let me be clear: I don't hate immigrants.,Soyons clairs : je ne hais pas les immigrants.,Xénophobie
1611,There is no hatred in my heart for you immigrants.,"Je n'éprouve aucune haine envers vous, les immigrants.",Xénophobie
1612,I don't like people in general but I have no particular contempt for immigrants.,"Je n'aime pas les gens en général, mais je n'ai pas de mépris particulier pour les immigrants.",Xénophobie
1613,I'm glad people are realising immigrants are not at all ignorant.,Je suis ravi que les gens se rendent compte que les immigrants ne sont pas du tout ignorants.,Xénophobie
1614,It's obvious that immigrants are the very opposite of stupid.,Il est évident que les immigrés sont tout le contraire de stupides.,Xénophobie
1615,I never said that immigrants are scum.,Je n'ai jamais dit que les immigrés étaient des ordures.,Xénophobie
1616,We should never support a politician that treats immigrants like human garbage.,Nous ne devrions jamais soutenir un homme politique qui traite les immigrants comme des déchets humains.,Xénophobie
1617,Immigrant lives are not worth any less than anyone else's.,La vie des immigrants ne vaut pas moins que celle de n'importe qui d'autre.,Xénophobie
1618,I will never tolerate the systematic murder of immigrants in this country.,Je ne tolérerai jamais le meurtre systématique des immigrants dans ce pays.,Xénophobie
1619,We must not make immigrants suffer any more than they already are.,Nous ne devons pas faire souffrir davantage les immigrants qu'ils ne le font déjà.,Xénophobie
1620,We should not allow for any immigrant to be raped.,Nous ne devons permettre à aucun immigré d'être violé.,Xénophobie
1621,I would never hurt any immigrant.,Je ne ferais jamais de mal à aucun immigrant.,Xénophobie
1622,We must not let immigrants be attacked any longer.,Nous ne devons plus tolérer que les immigrants soient attaqués.,Xénophobie
1623,Immigrants do not deserve to be tortured like that.,Les immigrants ne méritent pas d'être torturés de la sorte.,Xénophobie
1624,We must never condone the killing of any immigrant,Nous ne devons jamais tolérer le meurtre d'un immigrant.,Xénophobie
1625,No immigrant deserves to die.,Aucun immigrant ne mérite de mourir.,Xénophobie
1626,We should not let immigrants suffer.,Nous ne devons pas laisser les immigrants souffrir.,Xénophobie
1627,Let's not stand by while immigrants are getting murdered.,Ne restons pas les bras croisés pendant que des immigrants se font assassiner.,Xénophobie
1628,No immigrant ought to be executed.,Aucun immigrant ne devrait être exécuté.,Xénophobie
1629,Is it not obvious that I hate immigrants?,N'est-il pas évident que je déteste les immigrés ?,Xénophobie
1630,Is it easy to tell that I am disgusted by all the immigrants around here?,Est-ce facile de voir à quel point je suis dégoûté par tous ces immigrés qui vivent ici ?,Xénophobie
1631,Isn't it clear how much hatred I have for you immigrants?,"N'est-il pas évident à quel point je vous hais, vous autres immigrés ?",Xénophobie
1632,Do people really not realise that immigrants are disgusting?,Les gens ne se rendent vraiment pas compte que les immigrés sont répugnants ?,Xénophobie
1633,Does this not make it obvious that immigrants are scum?,Cela ne prouve-t-il pas clairement que les immigrés sont des ordures ?,Xénophobie
1634,When will people understand that only immigrants are that violent and cruel?,Quand les gens comprendront-ils que seuls les immigrés sont aussi violents et cruels ?,Xénophobie
1635,Isn't it typical of an immigrant to be that stupid?,N'est-ce pas typique d'un immigrant d'être aussi stupide ?,Xénophobie
1636,Why is it that all immigrants are repulsive?,Pourquoi tous les immigrants sont-ils repoussants ?,Xénophobie
1637,How is it not clear to all of you that immigrants are human garbage.,Comment se fait-il que vous ne compreniez pas tous que les immigrés sont des déchets humains ?,Xénophobie
